,Date,Ticker,Open,High,Low,Close,Volume
0,2022-12-21,ACST,160.0,160.0,157.0,159.0,1804100
0,2022-12-21,ADHI,492.0,505.0,492.0,500.0,9193300
0,2022-12-21,ADMR,1645.0,1690.0,1630.0,1670.0,75932100
0,2022-12-21,AGII,2200.0,2310.0,2190.0,2270.0,6250800
0,2022-12-21,AGRO,444.0,458.0,444.0,454.0,22707200
0,2022-12-21,AGRS,90.0,91.0,89.0,89.0,3880600
0,2022-12-21,AKSI,292.0,300.0,288.0,292.0,37200
0,2022-12-21,ALTO,50.0,50.0,50.0,50.0,229400
0,2022-12-21,AMAR,276.0,276.0,270.0,272.0,15911100
0,2022-12-21,AMFG,5600.0,5650.0,5525.0,5550.0,31100
0,2022-12-21,ANTM,2020.0,2070.0,2020.0,2040.0,63250500
0,2022-12-21,APLN,152.0,154.0,144.0,145.0,38119200
0,2022-12-21,ARTO,3630.0,3790.0,3630.0,3680.0,7741300
0,2022-12-21,ASJT,123.0,129.0,122.0,122.0,20700
0,2022-12-21,ASLC,123.0,125.0,122.0,123.0,5059600
0,2022-12-21,ASRI,168.0,169.0,165.0,167.0,10409700
0,2022-12-21,AUTO,1400.0,1400.0,1370.0,1375.0,1869700
0,2022-12-21,BACA,131.0,134.0,131.0,131.0,22912300
0,2022-12-21,BALI,750.0,770.0,750.0,765.0,55600
0,2022-12-21,BBCA,8600.0,8700.0,8575.0,8675.0,33620500
0,2022-12-21,BBHI,1775.0,1805.0,1775.0,1790.0,701900
0,2022-12-21,BBKP,100.0,102.0,98.0,99.0,84083500
0,2022-12-21,BBYB,655.0,670.0,620.0,625.0,115107900
0,2022-12-21,BCAP,79.0,80.0,77.0,78.0,16532100
0,2022-12-21,BCIP,64.0,65.0,63.0,63.0,5124200
0,2022-12-21,BEBS,750.0,790.0,725.0,770.0,191700900
0,2022-12-21,BEEF,60.0,62.0,59.0,62.0,908300
0,2022-12-21,BGTG,89.0,90.0,83.0,84.0,18241500
0,2022-12-21,BIKA,113.0,113.0,108.0,111.0,400
0,2022-12-21,BINA,3900.0,3920.0,3890.0,3920.0,119500
0,2022-12-21,BINO,129.0,130.0,128.0,129.0,4547900
0,2022-12-21,BIRD,1545.0,1555.0,1440.0,1445.0,3899100
0,2022-12-21,BJBR,1345.0,1345.0,1335.0,1340.0,1058100
0,2022-12-21,BKDP,99.0,103.0,95.0,100.0,23527400
0,2022-12-21,BKSL,50.0,50.0,50.0,50.0,193900
0,2022-12-21,BKSW,105.0,107.0,104.0,105.0,2032500
0,2022-12-21,BMTR,282.0,282.0,276.0,276.0,22730400
0,2022-12-21,BNBA,1040.0,1065.0,975.0,975.0,1623200
0,2022-12-21,BNBR,67.0,68.0,65.0,66.0,44099300
0,2022-12-21,BNII,228.0,228.0,224.0,226.0,137400
0,2022-12-21,BOLA,218.0,230.0,214.0,216.0,1210400
0,2022-12-21,BOSS,75.0,79.0,72.0,75.0,19162200
0,2022-12-21,BRIS,1100.0,1200.0,1100.0,1150.0,62955800
0,2022-12-21,BRMS,164.0,166.0,158.0,161.0,99641600
0,2022-12-21,BSSR,4960.0,5025.0,4940.0,4990.0,5123700
0,2022-12-21,BTPN,2580.0,2580.0,2540.0,2560.0,14400
0,2022-12-21,BUKA,254.0,264.0,254.0,258.0,56842800
0,2022-12-21,BUMI,164.0,167.0,162.0,166.0,426471500
0,2022-12-21,CARS,75.0,76.0,72.0,73.0,31250900
0,2022-12-21,CENT,129.0,129.0,121.0,121.0,1476500
0,2022-12-21,CFIN,302.0,306.0,296.0,298.0,4548100
0,2022-12-20,CINT,0.0,222.0,222.0,222.0,0
0,2022-12-21,CMNP,1800.0,1805.0,1800.0,1805.0,300
0,2022-12-21,CMNT,855.0,860.0,840.0,850.0,43166700
0,2022-12-21,CMPP,168.0,184.0,168.0,184.0,752500
0,2022-12-21,DAYA,206.0,206.0,206.0,206.0,1000
0,2022-12-21,DEPO,478.0,482.0,476.0,482.0,433300
0,2022-12-21,DGIK,108.0,108.0,105.0,107.0,16902400
0,2022-12-21,DNAR,167.0,174.0,163.0,164.0,6409700
0,2022-12-21,DOID,314.0,318.0,312.0,314.0,6066300
0,2022-12-21,DSFI,91.0,93.0,91.0,92.0,1302200
0,2022-12-21,EMTK,1015.0,1030.0,990.0,1000.0,26390400
0,2022-12-21,ESSA,985.0,1000.0,925.0,930.0,28767300
0,2022-12-21,ESTA,161.0,162.0,150.0,150.0,45878400
0,2022-12-21,EXCL,2100.0,2100.0,2060.0,2070.0,11443600
0,2022-12-21,FILM,2030.0,2080.0,2000.0,2070.0,3574600
0,2022-12-21,FITT,408.0,410.0,394.0,410.0,9392600
0,2022-12-21,GOOD,484.0,498.0,482.0,492.0,6226800
0,2022-12-21,HEAL,1560.0,1565.0,1515.0,1545.0,2029700
0,2022-12-21,HOMI,428.0,436.0,400.0,400.0,18753600
0,2022-12-21,HRME,52.0,52.0,50.0,51.0,851200
0,2022-12-21,HRUM,1660.0,1680.0,1660.0,1660.0,10660000
0,2022-12-21,ICON,63.0,67.0,61.0,62.0,2407200
0,2022-12-21,IKAN,62.0,63.0,58.0,58.0,2072100
0,2022-12-21,IMAS,895.0,900.0,880.0,895.0,208800
0,2022-12-21,INAF,895.0,910.0,895.0,900.0,36100
0,2022-12-21,INCO,7250.0,7325.0,7200.0,7225.0,4452400
0,2022-12-21,INDY,2920.0,2930.0,2890.0,2920.0,4436600
0,2022-12-21,IPCC,585.0,595.0,585.0,595.0,1266200
0,2022-12-21,IPCM,274.0,278.0,272.0,274.0,719300
0,2022-12-21,IRRA,1020.0,1030.0,1005.0,1020.0,2331200
0,2022-12-21,ISAT,5725.0,5750.0,5625.0,5700.0,948900
0,2022-12-21,JAWA,115.0,115.0,108.0,112.0,2406000
0,2022-12-21,JSMR,2970.0,2990.0,2950.0,2960.0,1660900
0,2022-12-21,KBLI,328.0,330.0,320.0,330.0,3619400
0,2022-12-21,KEEN,620.0,640.0,610.0,620.0,10352100
0,2022-12-21,KKGI,458.0,458.0,450.0,452.0,1790700
0,2022-12-21,KLBF,2090.0,2100.0,2050.0,2100.0,23249900
0,2022-12-21,KPIG,76.0,79.0,75.0,76.0,29783800
0,2022-12-21,LABA,102.0,105.0,99.0,101.0,1682900
0,2022-12-21,LINK,2720.0,2740.0,2670.0,2680.0,24000
0,2022-12-21,MARK,615.0,625.0,585.0,590.0,2683800
0,2022-12-21,MBSS,1195.0,1205.0,1195.0,1200.0,60700
0,2022-12-21,MCAS,7750.0,8225.0,7600.0,8100.0,273100
0,2022-12-21,MEDC,1075.0,1105.0,1070.0,1080.0,27659400
0,2022-12-21,META,123.0,131.0,123.0,126.0,68764600
0,2022-12-21,MKPI,19900.0,19900.0,18200.0,18200.0,17200
0,2022-12-21,MLBI,8650.0,8650.0,8575.0,8575.0,268400
0,2022-12-21,MLIA,560.0,560.0,540.0,545.0,10820100
0,2022-12-21,MLPL,115.0,117.0,113.0,113.0,10543400
0,2022-12-21,MLPT,2070.0,2070.0,2030.0,2060.0,12100
0,2022-12-21,MMLP,470.0,470.0,446.0,458.0,3268200
0,2022-12-21,MPOW,88.0,94.0,88.0,91.0,4351600
0,2022-12-21,MPPA,142.0,145.0,140.0,141.0,37039100
0,2022-12-21,MSIN,4780.0,4790.0,4690.0,4780.0,1148100
0,2022-12-21,MTDL,530.0,550.0,525.0,550.0,2154400
0,2022-12-21,MYOR,2500.0,2520.0,2440.0,2500.0,6257500
0,2022-12-21,NOBU,570.0,570.0,550.0,555.0,432700
0,2022-12-21,OKAS,121.0,121.0,112.0,113.0,8157500
0,2022-12-21,PBID,1570.0,1590.0,1560.0,1560.0,545900
0,2022-12-21,PBRX,109.0,116.0,107.0,109.0,50939700
0,2022-12-21,PNBS,64.0,64.0,61.0,63.0,36609100
0,2022-12-21,POLL,190.0,196.0,189.0,192.0,3227800
0,2022-12-21,PSKT,68.0,71.0,67.0,67.0,8838900
0,2022-12-21,PTPP,705.0,725.0,700.0,715.0,10467600
0,2022-12-21,PTPW,905.0,910.0,900.0,905.0,55100
0,2022-12-21,PTRO,4050.0,4050.0,4000.0,4000.0,100100
0,2022-12-21,PYFA,935.0,975.0,890.0,890.0,271700
0,2022-12-21,RAJA,955.0,975.0,945.0,945.0,29494600
0,2022-12-21,RALS,565.0,575.0,560.0,570.0,2336600
0,2022-12-21,RMKE,920.0,960.0,915.0,940.0,10594300
0,2022-12-21,SIDO,755.0,765.0,755.0,765.0,12400500
0,2022-12-21,SIMP,416.0,420.0,416.0,418.0,301900
0,2022-12-21,SLIS,284.0,300.0,268.0,300.0,171701500
0,2022-12-21,SMCB,1460.0,1460.0,1445.0,1445.0,1404500
0,2022-12-21,SMSM,1420.0,1510.0,1415.0,1495.0,3870800
0,2022-12-21,SQMI,67.0,69.0,65.0,66.0,5462600
0,2022-12-21,SRTG,2730.0,2730.0,2680.0,2690.0,10265500
0,2022-12-21,TAPG,645.0,650.0,635.0,645.0,4137600
0,2022-12-21,TCPI,8425.0,8625.0,8400.0,8625.0,16924300
0,2022-12-21,TECH,4090.0,4090.0,3860.0,3970.0,4407500
0,2022-12-21,TINS,1160.0,1170.0,1160.0,1160.0,4988400
0,2022-12-21,TMAS,1985.0,2000.0,1960.0,1995.0,867800
0,2022-12-21,TNCA,332.0,332.0,310.0,316.0,687500
0,2022-12-21,TOWR,1075.0,1080.0,1065.0,1070.0,35756400
0,2022-12-21,TOYS,69.0,70.0,68.0,69.0,3501900
0,2022-12-21,TRIS,186.0,212.0,182.0,210.0,9579600
0,2022-12-21,TRJA,226.0,232.0,226.0,232.0,24499800
0,2022-12-21,UFOE,246.0,248.0,240.0,244.0,15395400
0,2022-12-21,UNSP,138.0,139.0,132.0,136.0,899800
0,2022-12-21,UNVR,4770.0,4790.0,4740.0,4780.0,5975300
0,2022-12-21,VOKS,143.0,143.0,141.0,141.0,1900
0,2022-12-21,WEHA,110.0,113.0,109.0,111.0,5725300
0,2022-12-21,WOOD,360.0,380.0,360.0,370.0,2342300
0,2022-12-21,WSKT,358.0,364.0,356.0,360.0,5481500
0,2022-12-21,YELO,76.0,83.0,71.0,71.0,338736200
0,2022-12-21,ZYRX,384.0,386.0,380.0,380.0,168700
